dataset,gamma,stage3_confidence_mode,scope,status,epoch,best_epoch,clean_acc,topk_name,topk,asr,rac,recall,precision,f1,fpr,correction_rate,checkpoint_score,config,result_dir
PHISHING,2.0000,bounded_relative_gap,final_epoch,ok,50.0000,,0.9301,2,1.0000,0.1471,0.9078,0.8365,0.8139,0.8250,0.0565,0.8365,0.8677,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_2.0
PHISHING,2.0000,bounded_relative_gap,best_checkpoint,ok,50.0000,36.0000,0.9292,2,1.0000,0.1437,0.9078,0.8402,0.8145,0.8271,0.0565,0.8402,0.8699,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_2.0
PHISHING,5.0000,bounded_relative_gap,final_epoch,ok,50.0000,,0.9301,2,1.0000,0.1471,0.9078,0.8365,0.8139,0.8250,0.0565,0.8365,0.8677,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_5.0
PHISHING,5.0000,bounded_relative_gap,best_checkpoint,ok,50.0000,36.0000,0.9292,2,1.0000,0.1437,0.9078,0.8402,0.8145,0.8271,0.0565,0.8402,0.8699,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/PHISHING_3clients_noema_bounded_q_gamma_5.0
IEEE_CIS_FRAUD,0.5000,bounded_relative_gap,final_epoch,ok,50.0000,,0.8299,2,1.0000,0.1061,0.7916,0.8935,0.8181,0.8541,0.1309,0.8934,0.8723,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_0.5
IEEE_CIS_FRAUD,0.5000,bounded_relative_gap,best_checkpoint,ok,50.0000,35.0000,0.8308,2,1.0000,0.0996,0.7985,0.9002,0.8325,0.8650,0.1195,0.9000,0.8770,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_0.5
IEEE_CIS_FRAUD,1.0000,bounded_relative_gap,final_epoch,ok,50.0000,,0.8299,2,1.0000,0.1061,0.7916,0.8935,0.8181,0.8541,0.1309,0.8934,0.8723,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_1.0
IEEE_CIS_FRAUD,1.0000,bounded_relative_gap,best_checkpoint,ok,50.0000,35.0000,0.8308,2,1.0000,0.0996,0.7985,0.9002,0.8325,0.8650,0.1195,0.9000,0.8770,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_1.0
IEEE_CIS_FRAUD,2.0000,bounded_relative_gap,final_epoch,ok,50.0000,,0.8299,2,1.0000,0.1061,0.7916,0.8935,0.8181,0.8541,0.1309,0.8934,0.8723,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_2.0
IEEE_CIS_FRAUD,2.0000,bounded_relative_gap,best_checkpoint,ok,50.0000,35.0000,0.8308,2,1.0000,0.0996,0.7985,0.9002,0.8325,0.8650,0.1195,0.9000,0.8770,configs/avguard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema_bounded_q/IEEE_CIS_FRAUD_3clients_noema_bounded_q_gamma_2.0
