dataset,gamma,scope,status,epoch,best_epoch,clean_acc,topk_name,topk,asr,rac,recall,precision,f1,fpr,correction_rate,checkpoint_score,config,result_dir
PHISHING,5.0000,final_epoch,ok,50.0000,,0.9303,2,1.0000,0.1493,0.9076,0.8339,0.8158,0.8247,0.0556,0.8339,0.8660,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_5.0
PHISHING,5.0000,best_checkpoint,ok,50.0000,28.0000,0.9287,2,1.0000,0.1427,0.9076,0.8401,0.8104,0.8250,0.0574,0.8393,0.8694,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_5.0
IEEE_CIS_FRAUD,0.5000,final_epoch,ok,50.0000,,0.8304,2,1.0000,0.1080,0.7906,0.8913,0.8187,0.8535,0.1301,0.8913,0.8710,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_0.5
IEEE_CIS_FRAUD,0.5000,best_checkpoint,ok,50.0000,35.0000,0.8311,2,1.0000,0.1008,0.7980,0.8990,0.8339,0.8652,0.1182,0.8987,0.8763,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_0.5
IEEE_CIS_FRAUD,1.0000,final_epoch,ok,50.0000,,0.8304,2,1.0000,0.1080,0.7906,0.8913,0.8187,0.8535,0.1301,0.8913,0.8710,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_1.0
IEEE_CIS_FRAUD,1.0000,best_checkpoint,ok,50.0000,35.0000,0.8311,2,1.0000,0.1008,0.7980,0.8990,0.8339,0.8652,0.1182,0.8987,0.8763,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_1.0
IEEE_CIS_FRAUD,2.0000,final_epoch,ok,50.0000,,0.8304,2,1.0000,0.1080,0.7906,0.8913,0.8187,0.8535,0.1301,0.8913,0.8710,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0
IEEE_CIS_FRAUD,2.0000,best_checkpoint,ok,50.0000,35.0000,0.8311,2,1.0000,0.1008,0.7980,0.8990,0.8339,0.8652,0.1182,0.8987,0.8763,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0
IEEE_CIS_FRAUD,5.0000,final_epoch,ok,50.0000,,0.8304,2,1.0000,0.1080,0.7906,0.8913,0.8187,0.8535,0.1301,0.8913,0.8710,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_5.0
IEEE_CIS_FRAUD,5.0000,best_checkpoint,ok,50.0000,35.0000,0.8311,2,1.0000,0.1008,0.7980,0.8990,0.8339,0.8652,0.1182,0.8987,0.8763,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_5.0
NUSWIDE,0.5000,final_epoch,ok,50.0000,,0.7845,4,0.9944,0.0614,0.7032,0.6482,0.0248,0.0478,0.2032,0.3542,0.5957,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_0.5
NUSWIDE,0.5000,best_checkpoint,ok,50.0000,1.0000,0.7692,4,0.9965,0.2713,0.6726,0.6880,0.2880,0.4061,0.2090,0.5062,0.6545,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_0.5.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_0.5
NUSWIDE,1.0000,final_epoch,ok,50.0000,,0.7845,4,0.9944,0.0612,0.7031,0.6482,0.0248,0.0478,0.2032,0.3530,0.5952,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_1.0
NUSWIDE,1.0000,best_checkpoint,ok,50.0000,1.0000,0.7692,4,0.9965,0.2714,0.6725,0.6880,0.2880,0.4061,0.2090,0.5056,0.6543,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_1.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_1.0
NUSWIDE,2.0000,final_epoch,ok,50.0000,,0.7845,4,0.9944,0.0611,0.7031,0.6482,0.0248,0.0478,0.2032,0.3518,0.5948,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0
NUSWIDE,2.0000,best_checkpoint,ok,50.0000,1.0000,0.7692,4,0.9965,0.2714,0.6724,0.6880,0.2880,0.4061,0.2090,0.5055,0.6542,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0
NUSWIDE,5.0000,final_epoch,ok,50.0000,,0.7845,4,0.9944,0.0611,0.7031,0.6482,0.0248,0.0478,0.2032,0.3518,0.5948,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_5.0
NUSWIDE,5.0000,best_checkpoint,ok,50.0000,1.0000,0.7692,4,0.9965,0.2714,0.6725,0.6880,0.2880,0.4061,0.2090,0.5060,0.6544,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_5.0.json,results/AVGuard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_5.0
