dataset,checkpoint,split,scope,client_id,count,mean,std,min,p50,p90,p95,p99,max,checkpoint_file,config
NUSWIDE,final_latest,clean_test,all_client_positions,all,140079,169.052,274.882,0.000189291,37.9033,606.382,886.309,1068.9,2316.29,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,clean_test,remaining_client_positions,all,31459,22.6294,72.1375,0.000189291,2.9279,55.1217,104.499,324.66,1677.81,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,clean_test,all_client_positions,0,46693,419.275,348.975,0.000390008,378.271,956.603,1030.13,1118.86,1258.27,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,clean_test,remaining_client_positions,0,5179,58.0867,144.985,0.000390008,5.44375,177.898,319.053,813.887,1195.1,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,clean_test,all_client_positions,1,46693,38.6473,78.8609,0.000189291,14.2482,86.2645,128.318,302.117,2316.29,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,clean_test,remaining_client_positions,1,13097,14.9196,45.5415,0.000189291,2.49365,41.4728,68.4183,153.948,1677.81,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,clean_test,all_client_positions,2,46693,49.2348,68.5903,0.000243964,15.2797,136.043,188.944,301.003,939.431,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,clean_test,remaining_client_positions,2,13183,16.3594,38.8227,0.000243964,2.61214,46.5703,90.5095,195.203,705.071,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,poison_test,all_client_positions,all,140079,155.706,279.01,3.74191e-07,10.095,605.952,886.306,1068.9,2316.29,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,poison_test,remaining_client_positions,all,53448,12.124,59.4168,3.74191e-07,0.847956,16.3532,52.265,249.991,1677.81,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,poison_test,all_client_positions,0,46693,419.275,348.975,0.000390008,378.271,956.603,1030.13,1118.86,1258.27,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,poison_test,remaining_client_positions,0,5472,65.9648,158.743,0.000390008,5.44375,213.968,402.486,845.396,1195.1,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,poison_test,all_client_positions,1,46693,38.6473,78.8609,0.000189291,14.2482,86.2645,128.318,302.117,2316.29,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,poison_test,remaining_client_positions,1,14001,15.1668,42.7939,0.000189291,2.71028,45.42,69.7106,140.883,1677.81,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,poison_test,all_client_positions,2,46693,9.19525,30.0255,3.74191e-07,0.784444,15.156,70.6992,159.626,705.071,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,final_latest,poison_test,remaining_client_positions,2,33975,2.19842,13.0894,3.74191e-07,0.729869,1.27856,2.72296,43.5007,705.071,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,clean_test,all_client_positions,all,140079,29.6102,40.0444,7.93125e-06,12.2162,82.0465,109.372,182.69,843.963,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,clean_test,remaining_client_positions,all,31974,6.85967,15.7688,7.93125e-06,1.66602,18.0214,32.8895,74.2656,454.348,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,clean_test,all_client_positions,0,46693,52.1091,51.5458,0.000255193,40.6851,120.817,152.544,217.041,312.586,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,clean_test,remaining_client_positions,0,5766,6.84254,17.2959,0.000257601,1.85838,14.2983,29.6388,90.2487,258.5,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,clean_test,all_client_positions,1,46693,14.105,19.3633,2.8786e-05,5.56073,37.836,49.1371,87.0985,244.369,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,clean_test,remaining_client_positions,1,12787,4.6889,9.21154,0.000263813,1.30254,12.9082,24.0854,43.4061,177.454,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,clean_test,all_client_positions,2,46693,22.6164,31.3564,7.93125e-06,9.79646,59.5229,77.8769,136.885,843.963,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,clean_test,remaining_client_positions,2,13421,8.93526,19.3449,7.93125e-06,2.1053,24.9368,43.4797,88.3625,454.348,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,poison_test,all_client_positions,all,140079,29.1089,37.0157,2.8786e-05,16.9239,78.0899,104.726,177.306,327.246,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,poison_test,remaining_client_positions,all,57596,15.753,19.7071,5.07072e-05,13.3224,32.0567,43.0832,97.4686,327.246,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,poison_test,all_client_positions,0,46693,52.1091,51.5458,0.000255193,40.6851,120.817,152.544,217.041,312.586,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,poison_test,remaining_client_positions,0,10731,17.5823,34.2958,0.000511303,4.55107,57.6364,92.0708,170.303,291.19,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,poison_test,all_client_positions,1,46693,14.105,19.3633,2.8786e-05,5.56073,37.836,49.1371,87.0985,244.369,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,poison_test,remaining_client_positions,1,17003,7.44767,14.1031,5.07072e-05,1.90942,23.769,34.5563,56.4,229.719,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,poison_test,all_client_positions,2,46693,21.1127,16.1402,8.90223e-05,17.9692,36.1155,46.9504,87.8814,327.246,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
NUSWIDE,best_checkpoint,poison_test,remaining_client_positions,2,29862,19.8245,12.4936,8.90223e-05,17.75,32.2817,39.5002,64.051,327.246,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/NUSWIDE_3clients_noema_gamma_2.0.json
