dataset,checkpoint,split,scope,client_id,count,mean,std,min,p50,p90,p95,p99,max,checkpoint_file,config
CIFAR10,best_checkpoint,clean_test,remaining_client_positions,0,3431,1.23001,2.93042,1.27555e-05,0.465356,2.70598,4.49128,13.4184,74.1972,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,clean_test,all_client_positions,1,10000,9.27607,17.7331,0.00018526,2.04414,28.7639,47.2993,87.0322,192.923,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,clean_test,remaining_client_positions,1,2575,1.0557,2.52578,0.00018526,0.448678,2.31372,3.66093,9.72468,76.4233,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,clean_test,all_client_positions,2,10000,2.99406,6.12559,4.5964e-05,0.822002,8.15149,13.5096,29.8781,93.545,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,clean_test,remaining_client_positions,2,4038,0.865415,1.90073,7.84679e-05,0.36592,2.02372,3.10998,7.20765,52.4311,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,poison_test,all_client_positions,all,30000,9.20416,14.7905,1.27555e-05,4.68196,17.2882,29.6151,76.4277,269.854,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,poison_test,remaining_client_positions,all,17524,6.75329,15.4856,1.27555e-05,1.4706,15.5102,27.8595,80.8945,269.854,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,poison_test,all_client_positions,0,10000,6.63687,17.6005,1.27555e-05,1.24832,16.0743,30.5422,88.8291,269.854,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,poison_test,remaining_client_positions,0,7850,5.46913,16.5674,1.27555e-05,1.00493,11.272,23.393,84.8067,269.854,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,poison_test,all_client_positions,1,10000,9.27607,17.7331,0.00018526,2.04414,28.7639,47.2993,87.0322,192.923,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,poison_test,remaining_client_positions,1,7743,7.19883,15.9041,0.00018526,1.50002,18.9883,37.2468,82.6129,192.923,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,poison_test,all_client_positions,2,10000,11.6995,4.38301,0.00107889,12.3105,16.0275,17.1994,20.7523,48.7252,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
CIFAR10,best_checkpoint,poison_test,remaining_client_positions,2,1931,10.1872,5.1838,0.00393898,11.5466,15.6103,16.3753,19.2772,22.522,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/CIFAR10_3clients_noema_gamma_2.0.json
PHISHING,final_latest,clean_test,all_client_positions,all,53190,25697.4,159094,1.19209e-07,5272.63,36558.5,73124.2,308374,2.15728e+07,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,clean_test,remaining_client_positions,all,3572,1962.43,33492.1,1.19209e-07,4.08841,173.195,5272.63,31242,1.93732e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,clean_test,all_client_positions,0,17730,54750.9,198268,0.000538317,9142.44,96304.7,224775,1.87703e+06,1.93732e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,clean_test,remaining_client_positions,0,1091,5321.82,60291.5,0.000635714,3.03168,1768.58,23910.5,98792.5,1.93732e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,clean_test,all_client_positions,1,17730,4049.92,8100.64,0.0111457,5272.63,5272.63,5272.63,32128.8,416012,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,clean_test,remaining_client_positions,1,1425,329.84,1208.7,0.0111457,5.08528,112.354,5272.63,5272.63,5272.63,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,clean_test,all_client_positions,2,17730,18291.3,187588,1.19209e-07,28328.4,28328.4,28328.4,28328.4,2.15728e+07,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,clean_test,remaining_client_positions,2,1056,694.769,4463.54,1.19209e-07,3.4772,52.9644,175.243,28328.4,63126.3,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,poison_test,all_client_positions,all,53190,27926.5,116561,1.19209e-07,5272.63,36558.5,73124.2,308374,1.93732e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,final_latest,poison_test,remaining_client_positions,all,12145,15434.2,33255.5,1.19209e-07,340.611,51218,87541.6,112578,1.93732e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
