dataset,ablation_variant,enable_stage1,lambda_stage1_anchor,anchor_margin,anchor_scale,anchor_ema_momentum,clean_accuracy,attack_success_rate,defense_asr,corrected_asr,stage3_final_accuracy,stage3_final_target_accuracy,detection_recall,detection_precision,detection_f1,false_positive_rate,correction_rate,clean_suspicious,clean_total,clean_correction_applied,poison_valid_suspicious,poison_valid_total,poison_valid_correction_applied,attack_success_suspicious,attack_success_total,attack_success_correction_applied,attack_success_corrected_to_true,epoch,top_k,topk_accuracy,rac,test_target_accuracy,anchor_loss,stage3_result_directory
CIFAR10,pretrained_anchor,true,0.5,0,16,1,0.7057,0.1541,0.1541,0.1541,0.7057,0.79,0.935,0.5708,0.7089,0.2851,0.6637,2851,10000,2821,6224,9000,6224,5180,5540,5180,3677,28,4,0.9813,0.6832,0.808,0.1204,result/cifar10_ablation_rerun_scale16/stage1_ablation/pretrained_anchor/stage3
CIFAR10,random_anchor,false,0.5,0,16,1,0.6782,0.0857,0.0857,0.0857,0.6782,0.746,0.9479,0.6735,0.7875,0.3075,0.689,3075,10000,3036,7781,9000,7780,7312,7714,7311,5315,36,4,0.9785,0.6936,0.777,1.0428,result/cifar10_ablation_rerun_scale16/stage1_ablation/random_anchor/stage3
