dataset,tau_corr,status,return_code,is_baseline,is_selected_best,selection_reason,epoch,clean_acc,asr,rac,detection_recall,detection_precision,detection_f1,false_positive_rate,correction_rate,clean_suspicious,clean_total,clean_correction_applied,clean_prediction_changed,poison_valid_suspicious,poison_valid_total,poison_valid_correction_applied,poison_valid_prediction_changed,attack_success_suspicious,attack_success_total,attack_success_correction_applied,attack_success_prediction_changed,attack_success_corrected_to_true,results_dir,log_path
CIFAR10,0,parsed,,1,0,,28,0.5308,0.0149,0.7322,0.9919,0.6235,0.7657,0.5155,0.7499,5155,10000,5117,5117,8714,9000,8714,8714,8648,8719,8648,8648,6485,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.00,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.00/experiment.log
CIFAR10,0.02,parsed,,0,0,,28,0.5381,0.0211,0.731,0.9919,0.6235,0.7657,0.5155,0.7471,5155,10000,5006,5006,8714,9000,8658,8658,8648,8719,8592,8592,6461,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.02,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.02/experiment.log
CIFAR10,0.05,parsed,,0,1,constraints_satisfied,28,0.5473,0.0294,0.7293,0.9919,0.6235,0.7657,0.5155,0.7441,5155,10000,4875,4875,8714,9000,8583,8583,8648,8719,8517,8517,6435,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.05,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.05/experiment.log
CIFAR10,0.08,parsed,,0,0,,28,0.5555,0.0368,0.7279,0.9919,0.6235,0.7657,0.5155,0.7418,5155,10000,4739,4739,8714,9000,8515,8515,8648,8719,8450,8450,6415,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.08,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.08/experiment.log
CIFAR10,0.1,parsed,,0,0,,28,0.5607,0.0416,0.7266,0.9919,0.6235,0.7657,0.5155,0.7399,5155,10000,4657,4657,8714,9000,8472,8472,8648,8719,8407,8407,6399,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.10,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.10/experiment.log
CIFAR10,0.12,parsed,,0,0,,28,0.565,0.0458,0.7257,0.9919,0.6235,0.7657,0.5155,0.7382,5155,10000,4571,4571,8714,9000,8434,8434,8648,8719,8369,8369,6384,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.12,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.12/experiment.log
CIFAR10,0.15,parsed,,0,0,,28,0.5712,0.0534,0.7241,0.9919,0.6235,0.7657,0.5155,0.7359,5155,10000,4457,4457,8714,9000,8365,8365,8648,8719,8300,8300,6364,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.15,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.15/experiment.log
CIFAR10,0.2,parsed,,0,0,,28,0.5814,0.0663,0.722,0.9919,0.6235,0.7657,0.5155,0.7322,5155,10000,4265,4265,8714,9000,8249,8249,8648,8719,8184,8184,6332,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.20,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.20/experiment.log
CIFAR10,0.25,parsed,,0,0,,28,0.5905,0.0791,0.7186,0.9919,0.6235,0.7657,0.5155,0.7273,5155,10000,4109,4109,8714,9000,8134,8134,8648,8719,8069,8069,6290,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.25,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.25/experiment.log
CIFAR10,0.3,parsed,,0,0,,28,0.6008,0.0906,0.7155,0.9919,0.6235,0.7657,0.5155,0.7225,5155,10000,3938,3938,8714,9000,8029,8029,8648,8719,7965,7965,6248,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.30,D:/user_dyf/anchorshield/results/AVGuard/fourclient_full_avguard_fixed_lambda_anchor/CIFAR10/stage3_tau_corr_sweep/tau_0.30/experiment.log
