dataset,lambda_anchor,poison_rate,lambda_stage1_anchor,anchor_margin,anchor_scale,anchor_ema_momentum,clean_accuracy,attack_success_rate,defense_asr,corrected_asr,stage3_final_accuracy,stage3_final_target_accuracy,detection_recall,detection_precision,detection_f1,false_positive_rate,correction_rate,clean_suspicious,clean_total,clean_correction_applied,poison_valid_suspicious,poison_valid_total,poison_valid_correction_applied,attack_success_suspicious,attack_success_total,attack_success_correction_applied,attack_success_corrected_to_true,epoch,top_k,topk_accuracy,rac,test_target_accuracy,anchor_loss,stage3_result_directory
CIFAR10,0.25,0.05,0.5,0,16,1,0.68,0.0508,0.0508,0.0508,0.68,0.763,0.9505,0.7228,0.8212,0.3131,0.7249,3131,10000,3088,8273,9000,8273,8243,8672,8243,6286,29,4,0.9811,0.7345,0.86,0.133,result/cifar10_ablation_rerun_scale16/lambda_anchor_sensitivity/lambda_anchor_0.25/stage3
CIFAR10,0.5,0.05,0.5,0,16,1,0.7032,0.0427,0.0427,0.0427,0.7032,0.781,0.9582,0.7415,0.836,0.2875,0.7407,2875,10000,2854,8334,9000,8333,8312,8675,8311,6426,28,4,0.9819,0.7508,0.834,0.1192,result/cifar10_ablation_rerun_scale16/lambda_anchor_sensitivity/lambda_anchor_0.5/stage3
CIFAR10,0.75,0.05,0.5,0,16,1,0.7301,0.0414,0.0414,0.0414,0.7301,0.78,0.9591,0.7683,0.8532,0.2488,0.7479,2488,10000,2479,8350,9000,8350,8327,8682,8327,6493,32,4,0.9804,0.7568,0.834,0.1057,result/cifar10_ablation_rerun_scale16/lambda_anchor_sensitivity/lambda_anchor_0.75/stage3
